layer,strip,end,mpv,factor
1,0,0,428.5180735888613,1.4282
1,1,0,444.5101864239982,1.3768
1,2,0,418.2635974444649,1.4632
1,3,0,385.2108609634128,1.5887
1,4,0,463.5428169280486,1.3203
1,5,0,454.0689371770189,1.3478
1,6,0,533.3786369899298,1.1474
1,7,0,484.3828642240729,1.2635
2,0,0,459.27503669707545,1.3325
2,1,0,513.235762722157,1.1924
2,2,0,485.54559219741714,1.2604
2,3,0,467.37040284693103,1.3095
2,4,0,477.69933429705657,1.2811
2,5,0,463.1307628330697,1.3214
2,6,0,552.3649274623535,1.108
2,7,0,661.1378468954326,0.9257
3,0,0,732.4461435222511,0.8356
3,1,0,711.5071774358872,0.8601
3,2,0,562.0690397564964,1.0888
3,3,0,627.4576304994989,0.9754
3,4,0,693.3812972666263,0.8826
3,5,0,671.8820466825615,0.9109
3,6,0,630.5114117309226,0.9706
3,7,0,734.8620084529211,0.8328
4,0,0,731.1426170794273,0.837
4,1,0,551.7311527706332,1.1092
4,2,0,703.1894575440126,0.8703
4,3,0,647.1315231017873,0.9457
4,4,0,918.8139553973464,0.6661
4,5,0,741.6428834935916,0.8252
4,6,0,720.9941769084109,0.8488
4,7,0,693.5287336191496,0.8824
5,0,0,701.7338938706322,0.8721
5,1,0,736.6815327954077,0.8308
5,2,0,762.9601084105685,0.8021
5,3,0,782.3822257992439,0.7822
5,4,0,639.0014152266226,0.9577
5,5,0,726.6804006210325,0.8422
5,6,0,713.9260385782891,0.8572
5,7,0,717.9885076003202,0.8524
6,0,0,735.6770907883567,0.8319
6,1,0,733.9824241674283,0.8338
6,2,0,657.3445394516508,0.931
6,3,0,817.6473710874153,0.7485
6,4,0,630.7219590905329,0.9703
6,5,0,669.0822076984014,0.9147
6,6,0,693.5682179322966,0.8824
6,7,0,685.3430767144112,0.893
7,0,0,567.0800098252931,1.0792
7,1,0,502.7368742080269,1.2173
7,2,0,603.2392729582376,1.0145
7,3,0,566.836188237795,1.0797
7,4,0,511.2053814315668,1.1972
7,5,0,549.3043495925908,1.1141
7,6,0,591.394448184417,1.0348
7,7,0,460.64765762026553,1.3286
8,0,0,626.1712782532976,0.9774
8,1,0,594.8416695228483,1.0288
8,2,0,708.3846109249884,0.8639
8,3,0,622.8056187633634,0.9827
8,4,0,526.1357570321309,1.1632
8,5,0,587.1235947925138,1.0424
8,6,0,726.163747338229,0.8428
8,7,0,696.097355027537,0.8792
9,0,0,564.2040746177137,1.0847
9,1,0,617.6674509961013,0.9908
9,2,0,612.9447142751561,0.9985
9,3,0,626.2020780906144,0.9773
9,4,0,588.3265252192044,1.0402
9,5,0,590.8088631250087,1.0359
9,6,0,673.3363844092617,0.9089
9,7,0,599.7877598123063,1.0204
10,0,0,612.5255007932282,0.9991
10,1,0,645.4155433208483,0.9482
10,2,0,544.5585179994041,1.1238
10,3,0,592.093714215338,1.0336
10,4,0,610.3903413620341,1.0026
10,5,0,564.942768877645,1.0833
10,6,0,571.668887121046,1.0705
10,7,0,641.1507459831996,0.9545
10,8,0,648.6451396641615,0.9435
10,9,0,606.2781551330269,1.0094
10,10,0,644.5370587069406,0.9495
10,11,0,661.5210353848476,0.9251
11,0,0,581.8547484192164,1.0518
11,1,0,652.4888002096635,0.9379
11,2,0,703.8021762742816,0.8696
11,3,0,690.8011101410183,0.8859
11,4,0,606.3314569001058,1.0093
11,5,0,566.050383124499,1.0812
11,6,0,528.0554406960696,1.159
11,7,0,643.4890548989135,0.9511
11,8,0,642.581068787419,0.9524
11,9,0,588.494454387239,1.0399
11,10,0,620.1818346724644,0.9868
11,11,0,668.0792152926871,0.9161
1,0,1,428.9299241016219,1.4268
1,1,1,496.9717819095765,1.2315
1,2,1,483.60720290120616,1.2655
1,3,1,483.5009483343868,1.2658
1,4,1,447.0303639980771,1.369
1,5,1,454.41624213353055,1.3468
1,6,1,526.557617398889,1.1623
1,7,1,459.3678382430533,1.3323
2,0,1,542.3874054125,1.1283
2,1,1,442.5407928523482,1.3829
2,2,1,479.1308602215215,1.2773
2,3,1,466.65018172665447,1.3115
2,4,1,431.21907929477504,1.4192
2,5,1,428.4270243316026,1.4285
2,6,1,460.4464032426786,1.3291
2,7,1,586.0088027818184,1.0444
3,0,1,610.7831302851744,1.002
3,1,1,532.482400805365,1.1493
3,2,1,670.4678946896972,0.9128
3,3,1,612.9702383224187,0.9984
3,4,1,694.8782381741629,0.8807
3,5,1,649.1905094991641,0.9427
3,6,1,698.180799815989,0.8766
3,7,1,565.4507449092616,1.0823
4,0,1,634.9193974198536,0.9639
4,1,1,645.1506621770881,0.9486
4,2,1,560.236870602992,1.0924
4,3,1,627.9354793965616,0.9746
4,4,1,649.6765388363526,0.942
4,5,1,736.8718326793191,0.8305
4,6,1,654.7565612314634,0.9347
4,7,1,682.7598806579509,0.8964
5,0,1,703.2721788237435,0.8702
5,1,1,701.902377740795,0.8719
5,2,1,685.2341059115836,0.8931
5,3,1,695.2826899238728,0.8802
5,4,1,734.99461856009,0.8327
5,5,1,682.8769158260512,0.8962
5,6,1,793.5520894475065,0.7712
5,7,1,728.6451146759711,0.8399
6,0,1,643.2012522064684,0.9515
6,1,1,634.0065825674005,0.9653
6,2,1,687.2282430423676,0.8905
6,3,1,693.5621329833988,0.8824
6,4,1,690.6509275136988,0.8861
6,5,1,664.643512719571,0.9208
6,6,1,574.8615610546714,1.0646
6,7,1,622.0022323869165,0.9839
7,0,1,687.8310633663338,0.8898
7,1,1,602.2876568330971,1.0161
7,2,1,611.1615791999833,1.0014
7,3,1,694.5965265968191,0.8811
7,4,1,467.8625152786341,1.3081
7,5,1,516.2658820692966,1.1854
7,6,1,616.6632630288226,0.9924
7,7,1,507.2292780188267,1.2066
8,0,1,606.0559557823562,1.0098
8,1,1,488.54348606105145,1.2527
8,2,1,593.1075682240233,1.0319
8,3,1,677.7448982168784,0.903
8,4,1,652.0654134253527,0.9386
8,5,1,663.9894954710152,0.9217
8,6,1,681.2415005654983,0.8984
8,7,1,593.894138404588,1.0305
9,0,1,654.6253048179635,0.9349
9,1,1,617.5703824152914,0.991
9,2,1,579.0723520755087,1.0569
9,3,1,569.0032657559801,1.0756
9,4,1,612.0893415678971,0.9999
9,5,1,524.3380980847387,1.1672
9,6,1,608.2224462073468,1.0062
9,7,1,587.4701721716459,1.0418
10,0,1,651.5010173265164,0.9394
10,1,1,604.5145295799334,1.0124
10,2,1,630.0735492150357,0.9713
10,3,1,664.8641117701999,0.9205
10,4,1,615.6137925949795,0.9941
10,5,1,583.4198348376548,1.049
10,6,1,584.3264548275615,1.0474
10,7,1,615.806426134629,0.9938
10,8,1,552.0699667684383,1.1086
10,9,1,619.3380460201691,0.9882
10,10,1,647.7163227522028,0.9449
10,11,1,631.7398239361323,0.9688
11,0,1,671.2668214690822,0.9117
11,1,1,694.8498485444132,0.8808
11,2,1,642.0454401536596,0.9532
11,3,1,652.491324216543,0.9379
11,4,1,617.1635629741812,0.9916
11,5,1,651.5872296914789,0.9392
11,6,1,624.3677695052725,0.9802
11,7,1,579.9389407975433,1.0553
11,8,1,666.0562393720797,0.9188
11,9,1,676.8487843901887,0.9042
11,10,1,661.6112957056065,0.925
11,11,1,690.549700988309,0.8863
12,0,0,607.1458507379893,1.008
12,1,0,598.3441424411712,1.0228
12,2,0,572.5751376623789,1.0689
12,3,0,593.596888716976,1.031
12,4,0,631.5575412808372,0.969
12,5,0,621.788634037147,0.9843
12,6,0,602.1603167678014,1.0163
12,7,0,541.7726769023785,1.1296
12,8,0,612.3945602384961,0.9994
12,9,0,663.097531064634,0.9229
12,10,0,646.8310200590238,0.9462
12,11,0,656.3560296215323,0.9324
13,0,0,599.1755228969075,1.0214
13,1,0,644.403249903635,0.9497
13,2,0,661.5356383615698,0.9251
13,3,0,679.0634663685657,0.9012
13,4,0,714.5735844755259,0.8565
13,5,0,670.0289421516502,0.9134
13,6,0,667.0051094617214,0.9175
13,7,0,621.5169694159626,0.9847
13,8,0,659.4520375771095,0.928
13,9,0,657.3682893391743,0.931
13,10,0,311.6236288112065,1.9639
13,11,0,619.1939910487762,0.9884
14,0,0,595.8140536105986,1.0272
14,1,0,627.9116873636782,0.9747
14,2,0,651.4238784779981,0.9395
14,3,0,562.4831125252122,1.088
14,4,0,623.0257156059679,0.9823
14,5,0,678.3258939604693,0.9022
14,6,0,609.6415721297068,1.0039
14,7,0,632.248170872762,0.968
14,8,0,606.4055382102493,1.0092
14,9,0,582.4470457486792,1.0507
14,10,0,616.360089546931,0.9929
14,11,0,629.4407140456351,0.9723
15,0,0,608.6905370924135,1.0054
15,1,0,639.3341019897399,0.9572
15,2,0,634.5009104330504,0.9645
15,3,0,636.2984757052368,0.9618
15,4,0,644.3734567452273,0.9498
15,5,0,651.3862198399114,0.9395
15,6,0,639.9442507184375,0.9563
15,7,0,606.3787023223127,1.0093
15,8,0,601.8787766649929,1.0168
15,9,0,626.0896163198214,0.9775
15,10,0,582.6136628405609,1.0504
15,11,0,704.6308204444472,0.8685
16,0,0,613.436897883633,0.9977
16,1,0,614.1513589447468,0.9965
16,2,0,575.7301799947081,1.063
16,3,0,554.539646708241,1.1036
16,4,0,513.1941861304336,1.1925
16,5,0,585.8937553673173,1.0446
16,6,0,572.666206636915,1.0687
16,7,0,673.411413305292,0.9088
16,8,0,680.6489342702446,0.8991
16,9,0,674.5919490885574,0.9072
16,10,0,721.1950786499798,0.8486
16,11,0,607.4387428533917,1.0075
17,0,0,504.30499009234745,1.2136
17,1,0,582.7989784483112,1.0501
17,2,0,561.5828574284702,1.0898
17,3,0,578.7115218408801,1.0575
17,4,0,595.7349915096651,1.0273
17,5,0,669.9517906518402,0.9135
17,6,0,633.6265422549509,0.9659
17,7,0,624.8919491343598,0.9794
17,8,0,632.5557187846127,0.9675
17,9,0,573.4552137831245,1.0672
17,10,0,611.7418051640778,1.0004
17,11,0,590.0712295021948,1.0372
18,0,0,555.6619029887939,1.1014
18,1,0,568.4669083835904,1.0766
18,2,0,616.6603243428316,0.9924
18,3,0,605.1023485381153,1.0114
18,4,0,619.9592223679721,0.9872
18,5,0,588.3151119122729,1.0403
18,6,0,626.6841315822893,0.9766
18,7,0,627.7114652746683,0.975
18,8,0,548.3386372026089,1.1161
18,9,0,526.6483490683158,1.1621
18,10,0,541.5608309047847,1.1301
18,11,0,534.5521531651513,1.1449
19,0,0,575.6864472993308,1.0631
19,1,0,563.3752060488298,1.0863
19,3,0,542.8415920454228,1.1274
19,4,0,597.4688147802967,1.0243
19,5,0,607.407211565404,1.0076
19,6,0,610.5066095137469,1.0024
19,7,0,633.060680612876,0.9667
19,8,0,562.4946123646641,1.088
19,9,0,616.8906527626384,0.9921
19,10,0,546.9068187748405,1.119
19,11,0,665.3160194868584,0.9199
12,0,1,612.4816268007179,0.9992
12,1,1,643.5975994632528,0.9509
12,2,1,602.8251974872711,1.0152
12,3,1,575.8388877723189,1.0628
12,4,1,612.7388649680041,0.9988
12,5,1,553.2464855730756,1.1062
12,6,1,589.2723541741378,1.0386
12,7,1,599.0564879619458,1.0216
12,8,1,620.2564061193892,0.9867
12,9,1,654.3346811632765,0.9353
12,10,1,663.4876308307772,0.9224
12,11,1,611.185813456829,1.0013
13,0,1,700.5466563628145,0.8736
13,1,1,659.9302883512736,0.9274
13,2,1,710.4135715712918,0.8615
13,3,1,659.3446072097779,0.9282
13,4,1,641.7618612000334,0.9536
13,5,1,672.1241167145272,0.9105
13,6,1,665.1038281705108,0.9202
13,7,1,607.511931081727,1.0074
13,8,1,580.2185476612237,1.0548
13,9,1,590.765488636172,1.0359
13,10,1,592.015667536049,1.0338
13,11,1,608.5522734908847,1.0057
14,0,1,512.9356120999863,1.1931
14,1,1,582.241023363648,1.0511
14,2,1,569.0730554246782,1.0754
14,3,1,598.1566939691885,1.0231
14,4,1,516.4722749926921,1.185
14,5,1,607.7052374795297,1.0071
14,6,1,582.1116836436651,1.0513
14,7,1,576.2239622783142,1.0621
14,8,1,543.1619437522746,1.1267
14,9,1,483.29810276762055,1.2663
14,10,1,576.9317528386911,1.0608
14,11,1,517.0422284454946,1.1837
15,0,1,594.7105230420442,1.0291
15,1,1,627.5085770270612,0.9753
15,2,1,713.6856468375786,0.8575
15,3,1,607.4646420046884,1.0075
15,4,1,665.6910666848582,0.9193
15,5,1,647.6217721039746,0.945
15,6,1,708.7097136425521,0.8635
15,7,1,656.5614915241778,0.9321
15,8,1,652.386863754418,0.9381
15,9,1,689.905168055104,0.8871
15,10,1,629.6947241977949,0.9719
15,11,1,616.0855775891484,0.9934
16,0,1,604.6824045675769,1.0121
16,1,1,594.9301735012533,1.0287
16,2,1,619.390523749798,0.9881
16,3,1,605.8041979127225,1.0102
16,4,1,506.1045061925735,1.2092
16,5,1,564.4244091315667,1.0843
16,6,1,570.74012078023,1.0723
16,7,1,583.9192474925532,1.0481
16,8,1,585.9044175789653,1.0445
16,9,1,605.5893901913178,1.0106
16,10,1,716.0658828180341,0.8547
16,11,1,703.7429032147251,0.8696
17,0,1,547.1299149925195,1.1186
17,1,1,565.1902435083737,1.0828
17,2,1,570.063309754506,1.0736
17,3,1,567.1653112625816,1.0791
17,4,1,640.4516273502729,0.9556
17,5,1,534.360682544389,1.1453
17,6,1,631.4268145487694,0.9692
17,7,1,586.7810564727478,1.043
17,8,1,652.4480667904267,0.938
17,9,1,657.9935496797311,0.9301
17,10,1,594.9855464297026,1.0286
17,11,1,635.9823484710781,0.9623
18,0,1,629.7547137388642,0.9718
18,1,1,614.3969982292871,0.9961
18,2,1,605.12558988942,1.0114
18,3,1,583.9988941580051,1.0479
18,4,1,578.7057526669148,1.0575
18,5,1,532.0634346251106,1.1502
18,6,1,544.0064465329519,1.125
18,7,1,637.8874329980332,0.9594
18,8,1,505.3280967572528,1.2111
18,9,1,492.3920273384448,1.2429
18,10,1,508.0497859810336,1.2046
18,11,1,535.3228547130416,1.1432
19,0,1,534.7968814782887,1.1444
19,1,1,559.837530951287,1.0932
19,2,1,575.0443005157086,1.0643
19,3,1,507.82303818985423,1.2051
19,4,1,559.6870395201862,1.0935
19,5,1,649.6391987551998,0.9421
19,6,1,572.725561159655,1.0686
19,7,1,576.1782616319404,1.0622
19,8,1,617.5052962705844,0.9911
19,9,1,626.405833131035,0.977
19,10,1,571.7251379773319,1.0704
19,11,1,686.8382442091043,0.891
