layer,bar,Det_id_0,Det_id_1,bx_shift,mean_shift
0.0,0.0,411566336.0,411042048.0,465,-1.709184352083003
0.0,1.0,411566337.0,411042049.0,465,-10.319879611051087
0.0,2.0,411566338.0,411042050.0,465,-9.955834609084112
0.0,3.0,411566339.0,411042051.0,465,3.777900584068321
0.0,4.0,411566340.0,411042052.0,465,-6.725108225108225
0.0,5.0,411566341.0,411042053.0,465,5.357079068350485
0.0,6.0,411566342.0,411042054.0,465,-8.664409067634875
0.0,7.0,411566343.0,411042055.0,465,10.235631098237471
1.0,0.0,411566592.0,411042304.0,465,-17.291173966512154
1.0,1.0,411566593.0,411042305.0,465,10.263277940697296
1.0,2.0,411566594.0,411042306.0,465,-7.9466710111871395
1.0,3.0,411566595.0,411042307.0,465,11.327997719126753
1.0,4.0,411566596.0,411042308.0,465,-0.2175573154185776
1.0,5.0,411566597.0,411042309.0,465,23.46263218697236
1.0,6.0,411566598.0,411042310.0,465,16.55873248615184
1.0,7.0,411566599.0,411042311.0,465,8.197702834799609
2.0,0.0,411566848.0,411042560.0,465,-2.3907632236519762
2.0,1.0,411566849.0,411042561.0,465,-19.094646656316485
2.0,2.0,411566850.0,411042562.0,465,-14.342854941851046
2.0,3.0,411566851.0,411042563.0,465,1.7915828248879753
2.0,4.0,411566852.0,411042564.0,465,-14.29106129064099
2.0,5.0,411566853.0,411042565.0,465,27.332469357233716
2.0,6.0,411566854.0,411042566.0,465,-3.346002879572178
2.0,7.0,411566855.0,411042567.0,465,-7.49736947223819
3.0,0.0,411567104.0,411042816.0,465,35.129521016617794
3.0,1.0,411567105.0,411042817.0,465,10.694137840756111
3.0,2.0,411567106.0,411042818.0,465,24.57476714317397
3.0,3.0,411567107.0,411042819.0,465,8.532056374508185
3.0,4.0,411567108.0,411042820.0,465,17.67634896589183
3.0,5.0,411567109.0,411042821.0,465,-9.672693372658715
3.0,6.0,411567110.0,411042822.0,465,6.923393875901624
3.0,7.0,411567111.0,411042823.0,465,-1.9651617124957357
4.0,0.0,411567360.0,411043072.0,978,9.790847608273019
4.0,1.0,411567361.0,411043073.0,978,0.43883263074291295
4.0,2.0,411567362.0,411043074.0,978,-5.429477483028137
4.0,3.0,411567363.0,411043075.0,978,-1.9129032710933223
4.0,4.0,411567364.0,411043076.0,978,-2.6463517109378647
4.0,5.0,411567365.0,411043077.0,978,12.097285173801021
4.0,6.0,411567366.0,411043078.0,978,17.800808673242692
4.0,7.0,411567367.0,411043079.0,978,-16.464973375520913
5.0,0.0,411567616.0,411043328.0,978,0.7809502278174119
5.0,1.0,411567617.0,411043329.0,978,9.189455339048024
5.0,2.0,411567618.0,411043330.0,978,-13.322340048845591
5.0,3.0,411567619.0,411043331.0,978,8.727548665932876
5.0,4.0,411567620.0,411043332.0,978,-0.36502478681017364
5.0,5.0,411567621.0,411043333.0,978,1.4455904213711623
5.0,6.0,411567622.0,411043334.0,978,3.376474672906458
5.0,7.0,411567623.0,411043335.0,978,13.912731953931896
6.0,0.0,411567872.0,411043584.0,978,-18.401307378030555
6.0,1.0,411567873.0,411043585.0,978,1.6731796916492143
6.0,2.0,411567874.0,411043586.0,978,17.76824682083989
6.0,3.0,411567875.0,411043587.0,978,5.207942922344728
6.0,4.0,411567876.0,411043588.0,978,-3.785466953170659
6.0,5.0,411567877.0,411043589.0,978,4.87816200163655
6.0,6.0,411567878.0,411043590.0,978,29.03574919703952
6.0,7.0,411567879.0,411043591.0,978,-15.728706579146461
7.0,0.0,411568128.0,411043840.0,978,-18.82688425943558
7.0,1.0,411568129.0,411043841.0,978,-4.5533272649447065
7.0,2.0,411568130.0,411043842.0,978,-24.634962341396836
7.0,3.0,411568131.0,411043843.0,978,-10.202247649469774
7.0,4.0,411568132.0,411043844.0,978,-15.726614617783444
7.0,5.0,411568133.0,411043845.0,978,-22.278302921084673
7.0,6.0,411568134.0,411043846.0,978,-1.5411519009636916
7.0,7.0,411568135.0,411043847.0,978,7.260299123309248
8.0,0.0,411568384.0,411044096.0,720,19.826419409289265
8.0,1.0,411568385.0,411044097.0,720,2.3793645866799165
8.0,2.0,411568386.0,411044098.0,720,-9.558836547462317
8.0,3.0,411568387.0,411044099.0,720,-10.540707546777247
8.0,4.0,411568388.0,411044100.0,720,-14.872515477354186
8.0,5.0,411568389.0,411044101.0,720,13.594090169305236
8.0,6.0,411568390.0,411044102.0,720,-2.2418134274819823
8.0,7.0,411568391.0,411044103.0,720,-4.38262043766631
9.0,0.0,411568640.0,411044352.0,720,-29.41508396997806
9.0,1.0,411568641.0,411044353.0,720,-4.655027063987378
9.0,2.0,411568642.0,411044354.0,720,-24.787040916073174
9.0,3.0,411568643.0,411044355.0,720,0.23987527959915125
9.0,4.0,411568644.0,411044356.0,720,-3.231226402921381
9.0,5.0,411568645.0,411044357.0,720,-10.77863487922668
9.0,6.0,411568646.0,411044358.0,720,-3.063012974513765
9.0,7.0,411568647.0,411044359.0,720,-20.053475935828878
9.0,8.0,411568648.0,411044360.0,976,-19.819159335288365
9.0,9.0,411568649.0,411044361.0,976,-5.447643695228936
9.0,10.0,411568650.0,411044362.0,976,-8.950295931331535
9.0,11.0,411568651.0,411044363.0,976,1.0584631552373487
10.0,0.0,411568896.0,411044608.0,976,32.69794721407625
10.0,1.0,411568897.0,411044609.0,976,-19.376749110558674
10.0,2.0,411568898.0,411044610.0,976,-23.54087623087076
10.0,3.0,411568899.0,411044611.0,976,-0.7654917307426536
10.0,4.0,411568900.0,411044612.0,976,-0.31255738105456404
10.0,5.0,411568901.0,411044613.0,976,-21.828282955100168
10.0,6.0,411568902.0,411044614.0,976,-27.478736272006863
10.0,7.0,411568903.0,411044615.0,976,-4.230072256637722
10.0,8.0,411568904.0,411044616.0,976,-0.7365782245612341
10.0,9.0,411568905.0,411044617.0,976,6.332394408198689
10.0,10.0,411568906.0,411044618.0,976,-32.22768840043486
10.0,11.0,411568907.0,411044619.0,976,16.39207731380698
11.0,0.0,411569152.0,411044864.0,465,-3.3935444113419644
11.0,1.0,411569153.0,411044865.0,465,-2.5142069984585924
11.0,2.0,411569154.0,411044866.0,465,-0.09734354605684802
11.0,3.0,411569155.0,411044867.0,465,-1.2032701821698508
11.0,4.0,411569156.0,411044868.0,465,3.050001277360731
11.0,5.0,411569157.0,411044869.0,465,2.368527995977047
11.0,6.0,411569158.0,411044870.0,465,-2.343293173312364
11.0,7.0,411569159.0,411044871.0,465,-5.863413519282092
11.0,8.0,411569160.0,411044872.0,465,-1.8923373185335717
11.0,9.0,411569161.0,411044873.0,465,-6.51047659139167
11.0,10.0,411569162.0,411044874.0,465,-4.01562094427048
11.0,11.0,411569163.0,411044875.0,465,4.0603265659438375
12.0,0.0,411569408.0,411045120.0,465,-3.4241123471373696
12.0,1.0,411569409.0,411045121.0,465,3.593903224247413
12.0,2.0,411569410.0,411045122.0,465,0.9461364331981096
12.0,3.0,411569411.0,411045123.0,465,-1.8699946268198449
12.0,4.0,411569412.0,411045124.0,465,-0.21502666390278616
12.0,5.0,411569413.0,411045125.0,465,-1.4207991065886185
12.0,6.0,411569414.0,411045126.0,465,-6.848742142507246
12.0,7.0,411569415.0,411045127.0,465,-1.9574230087209932
12.0,8.0,411569416.0,411045128.0,465,4.099342354613901
12.0,9.0,411569417.0,411045129.0,465,-3.060247698035503
12.0,10.0,411569418.0,411045130.0,465,-4.930341469735543
12.0,11.0,411569419.0,411045131.0,465,-8.290879123231372
13.0,0.0,411569664.0,411045376.0,465,-4.945869990224829
13.0,1.0,411569665.0,411045377.0,465,-3.739811366547586
13.0,2.0,411569666.0,411045378.0,465,3.674893808234905
13.0,3.0,411569667.0,411045379.0,465,-4.611236393655142
13.0,4.0,411569668.0,411045380.0,465,-0.3426437495736918
13.0,5.0,411569669.0,411045381.0,465,0.31415579977387137
13.0,6.0,411569670.0,411045382.0,465,-2.591177737624658
13.0,7.0,411569671.0,411045383.0,465,-3.4054146594409995
13.0,8.0,411569672.0,411045384.0,978,7.654741184885876
13.0,9.0,411569673.0,411045385.0,978,19.425923728552853
13.0,10.0,411569674.0,411045386.0,978,4.360512788431264
13.0,11.0,411569675.0,411045387.0,978,29.874589116285144
14.0,0.0,411569920.0,411045632.0,978,10.221292218000835
14.0,1.0,411569921.0,411045633.0,978,7.842344350285083
14.0,2.0,411569922.0,411045634.0,978,-9.11546927874586
14.0,3.0,411569923.0,411045635.0,978,19.288425859312756
14.0,4.0,411569924.0,411045636.0,978,6.7105009918520295
14.0,5.0,411569925.0,411045637.0,978,-4.926422634124635
14.0,6.0,411569926.0,411045638.0,978,-13.5808812186581
14.0,7.0,411569927.0,411045639.0,978,-16.44473838212557
14.0,8.0,411569928.0,411045640.0,978,0.4700575608670416
14.0,9.0,411569929.0,411045641.0,978,-16.22799170360946
14.0,10.0,411569930.0,411045642.0,978,0.15891501724755275
14.0,11.0,411569931.0,411045643.0,978,17.95751968295104
15.0,0.0,411570176.0,411045888.0,728,-7.791140899071226
15.0,1.0,411570177.0,411045889.0,728,2.7355394841369014
15.0,2.0,411570178.0,411045890.0,728,3.942890324029924
15.0,3.0,411570179.0,411045891.0,728,-0.16699337395798022
15.0,4.0,411570180.0,411045892.0,728,22.31393727257058
15.0,5.0,411570181.0,411045893.0,728,9.765213027918552
15.0,6.0,411570182.0,411045894.0,728,7.112923224365311
15.0,7.0,411570183.0,411045895.0,728,-8.381930245831809
15.0,8.0,411570184.0,411045896.0,728,24.352007642539533
15.0,9.0,411570185.0,411045897.0,728,6.857522908901844
15.0,10.0,411570186.0,411045898.0,728,-3.6616903267745324
15.0,11.0,411570187.0,411045899.0,728,-11.813242210704729
16.0,0.0,411570432.0,411046144.0,728,-11.0629017171802
16.0,1.0,411570433.0,411046145.0,728,2.127942552126904
16.0,2.0,411570434.0,411046146.0,728,2.6259871926642777
16.0,3.0,411570435.0,411046147.0,728,1.162035683792479
16.0,4.0,411570436.0,411046148.0,720,-21.87656592495895
16.0,5.0,411570437.0,411046149.0,720,4.30027535613866
16.0,6.0,411570438.0,411046150.0,720,3.0525592577666765
16.0,7.0,411570439.0,411046151.0,720,17.480834941219864
16.0,8.0,411570440.0,411046152.0,720,-9.356901398149414
16.0,9.0,411570441.0,411046153.0,720,-18.185408234835915
16.0,10.0,411570442.0,411046154.0,720,0.173736305412667
16.0,11.0,411570443.0,411046155.0,720,4.112467766387148
17.0,0.0,411570688.0,411046400.0,720,3.340389185977421
17.0,1.0,411570689.0,411046401.0,720,2.248588173145182
17.0,2.0,411570690.0,411046402.0,720,0.9569928194938597
17.0,3.0,411570691.0,411046403.0,720,-10.911709884134442
17.0,4.0,411570692.0,411046404.0,720,8.952867582738822
17.0,5.0,411570693.0,411046405.0,720,4.447404194010015
17.0,6.0,411570694.0,411046406.0,720,9.145352302002461
17.0,7.0,411570695.0,411046407.0,720,-3.315288835925728
17.0,8.0,411570696.0,411046408.0,720,27.91958031145039
17.0,9.0,411570697.0,411046409.0,720,35.586492533873276
17.0,10.0,411570698.0,411046410.0,720,4.742698676136126
17.0,11.0,411570699.0,411046411.0,720,-4.656638240563883
18.0,0.0,411570944.0,411046656.0,720,22.994359231183452
18.0,1.0,411570945.0,411046657.0,720,-28.059140363815427
18.0,2.0,411570946.0,411046658.0,720,0
18.0,3.0,411570947.0,411046659.0,720,7.493296583639581
18.0,4.0,411570948.0,411046660.0,720,1.7580979976388982
18.0,5.0,411570949.0,411046661.0,720,11.706590359868388
18.0,6.0,411570950.0,411046662.0,720,3.0231348931791566
18.0,7.0,411570951.0,411046663.0,720,1.9706698993161202
18.0,8.0,411570952.0,411046664.0,720,-6.103816639430908
18.0,9.0,411570953.0,411046665.0,720,-2.353601361950669
18.0,10.0,411570954.0,411046666.0,720,-2.80032653231006
18.0,11.0,411570955.0,411046667.0,720,12.098717727560233
